year,name,code,gini
1981,India,IND,0.4009029456734943
1981,Korea, Republic of,0.19950966000862014
1981,USA,USA,0.4648427118325743
1982,China,CHN,0.2956788465298193
1982,Germany,DEU,0.3510672153888201
1982,France,FRA,0.5216448812733567
1982,India,IND,0.3965478734371728
1982,Korea, Republic of,0.20569712855148992
1982,USA,USA,0.4718751624854067
1983,China,CHN,0.3002287336675688
1983,Germany,DEU,0.3499677016058954
1983,France,FRA,0.5210770868246519
1983,India,IND,0.4404742993162349
1983,Korea, Republic of,0.2091921586810399
1983,Poland,POL,0.2780376000949981
1983,USA,USA,0.4813828559630827
1984,China,CHN,0.3094906160971213
1984,Germany,DEU,0.3496279267897649
1984,France,FRA,0.5208655914720917
1984,India,IND,0.42499602985045737
1984,Korea, Republic of,0.20558459099862011
1984,Poland,POL,0.29084537982329706
1984,USA,USA,0.4913367340144366
1985,China,CHN,0.3252457499865994
1985,Czech Republic,CZE,0.19858235987247708
1985,Germany,DEU,0.35152994092973805
1985,France,FRA,0.5103512206743566
1985,India,IND,0.4369047210596093
1985,Korea, Republic of,0.1989780304646399
1985,Poland,POL,0.2772336819717023
1985,Russian Federation,RUS,0.2828613405439252
1985,USA,USA,0.4914928990389176
1986,China,CHN,0.3208928297487113
1986,Germany,DEU,0.35361653225856404
1986,France,FRA,0.5030934344408582
1986,India,IND,0.439277095421638
1986,Poland,POL,0.2809677011497021
1986,USA,USA,0.4932206299330116
1987,China,CHN,0.3174845921904763
1987,Germany,DEU,0.36424858272355787
1987,France,FRA,0.4958393987727238
1987,India,IND,0.43435082025797206
1987,Poland,POL,0.2810729444165704
1987,USA,USA,0.5028439992168388
1988,Cote d'Ivoire,CIV,0.6245482829740001
1988,China,CHN,0.3248519820251635
1988,Czech Republic,CZE,0.200458756403994
1988,Germany,DEU,0.3732240167933749
1988,France,FRA,0.4856411319691016
1988,India,IND,0.4418083750830711
1988,Poland,POL,0.26273095143810143
1988,Russian Federation,RUS,0.28123276699501354
1988,USA,USA,0.5129986679647358
1989,China,CHN,0.3304345869175224
1989,Germany,DEU,0.3831507321800788
1989,France,FRA,0.4899017189302943
1989,India,IND,0.44174791660714063
1989,Poland,POL,0.28299991634429805
1989,Russian Federation,RUS,0.2961455066845702
1989,USA,USA,0.5118261897312018
1990,China,CHN,0.33079802500644995
1990,Germany,DEU,0.3807596285862823
1990,France,FRA,0.4886413024053838
1990,India,IND,0.42621072051517983
1990,Russian Federation,RUS,0.3090204500613733
1990,USA,USA,0.5135392649228416
1990,Yemen,YEM,0.5895359936540001
1991,China,CHN,0.3343056586321523
