name,code,gini
China,CHN,0.3343056586321523
Germany,DEU,0.37908048524836013
France,FRA,0.48758098159906627
India,IND,0.43040984199752585
Russian Federation,RUS,0.3190896114111701
USA,USA,0.5144118668205799
Yemen,YEM,0.590264947750889
1992
China,CHN,0.34878377681682066
Czech Republic,CZE,0.2655123680593151
Germany,DEU,0.3742587471384681
France,FRA,0.4810696636558299
India,IND,0.4374614821855527
Jordan,JOR,0.5803115833520001
Poland,POL,0.3169814290059828
Russian Federation,RUS,0.4326031536572871
Slovenia,SVN,0.23515246216999985
USA,USA,0.5282365201278933
Yemen,YEM,0.590264947750889
1993
Cote d'Ivoire,CIV,0.542669313899434
China,CHN,0.36112407466583546
Czech Republic,CZE,0.2751688228102963
Germany,DEU,0.3681182161175671
France,FRA,0.4819357603578285
India,IND,0.4514454119850261
Poland,POL,0.3283903405221682
Russian Federation,RUS,0.4624898604866343
Slovenia,SVN,0.3112205505300001
USA,USA,0.5265656990918799
Yemen,YEM,0.590264947750889
1994
China,CHN,0.3682534479494095
Czech Republic,CZE,0.28505242628849314
Germany,DEU,0.364003920784571
France,FRA,0.480821714794079
India,IND,0.46300530990113176
Poland,POL,0.35553193046758513
Russian Federation,RUS,0.5406057177919767
Slovenia,SVN,0.2702410578100001
Turkey,TUR,0.711002738674
USA,USA,0.5285621414252198
Yemen,YEM,0.590264947750889
1995
Bahrain,BHR,0.6089170127300001
China,CHN,0.3674525858559576
Czech Republic,CZE,0.2950768771640291
Germany,DEU,0.36447394377463915
France,FRA,0.4801105145870277
India,IND,0.464754629981481
Korea, Republic of,0.22467915099923996
Poland,POL,0.38229008236066575
Russian Federation,RUS,0.567019414688254
Slovenia,SVN,0.32802962366
USA,USA,0.5368167305400668
Yemen,YEM,0.590264947750889
1996
China,CHN,0.372515300835847
Czech Republic,CZE,0.3053158365522337
Germany,DEU,0.37450271098712695
France,FRA,0.483957128937759
India,IND,0.459649040379703
Korea, Republic of,0.2559706403851999
Poland,POL,0.37529079187851744
Palestine,PSE,0.569844837026
Russian Federation,RUS,0.637127149608983
Slovenia,SVN,0.33986621206
USA,USA,0.5440792716215215
Yemen,YEM,0.590264947750889
1997
China,CHN,0.3776702499073649
Czech Republic,CZE,0.304196305821973
Germany,DEU,0.3818427959132399
France,FRA,0.4830287200752177
India,IND,0.4657934477087249
