year,name,code,gini
2009,United Arab Emirates,ARE,0.6485995435493852
2009,Brazil,BRA,0.6451332968280801
2009,China,CHN,0.47393315011274306
2009,Czech Republic,CZE,0.32889254556753955
2009,Germany,DEU,0.4399293401451291
2009,France,FRA,0.4672300858888925
2009,India,IND,0.5673078754005929
2009,Korea, Republic of,0.3351563811005801
2009,Lebanon,LBN,0.658232027753577
2009,Malaysia,MYS,0.5444641847728302
2009,Poland,POL,0.4179342113130078
2009,Russian Federation,RUS,0.5878466177850538
2009,Slovenia,SVN,0.31547222139
2009,Thailand,THA,0.6231284399665121
2009,Turkey,TUR,0.583147171039478
2009,USA,USA,0.573945337574292
2009,Yemen,YEM,0.590264947750889
