year,name,code,gini
2014,Brazil,BRA,0.636323014787364
2014,Cote d'Ivoire,CIV,0.5906055401550299
2014,China,CHN,0.47853897870945866
2014,Czech Republic,CZE,0.33501683586991937
2014,Germany,DEU,0.44634479079108136
2014,France,FRA,0.4592652157275523
2014,Korea, Republic of,0.3377828214802
2014,Lebanon,LBN,0.6621773447253241
2014,Malaysia,MYS,0.48865573478467006
2014,Poland,POL,0.41536875656146555
2014,Russian Federation,RUS,0.5469198791207159
2014,Thailand,THA,0.6054590154194329
2014,Turkey,TUR,0.586472174047813
2014,USA,USA,0.5974275745550086
2014,Yemen,YEM,0.590264947750889
